,Job_Id,Experience,Qualifications,Salary_Range,location,Country,latitude,longitude,Work_Type,Company_Size,Job_Posting_Date,Preference,Contact_Person,Contact,Job_Title,Role,Job_Portal,Job_Description,Benefits,skills,Responsibilities,Company,Company_Profile
282958,1674915493454393,2 to 11 Years,M.Tech,$58K-$90K,Tegucigalpa,Honduras,15.199,-86.2419,Full-Time,92385,2023-08-07,Male,Alyssa Zimmerman,(774)236-9042x75333,Digital Marketing Specialist,Social Media Manager,Jobs2Careers,"Social Media Managers oversee an organizations social media presence. They create and schedule content, engage with followers, and analyze social media metrics to drive brand awareness and engagement.","{'Employee Referral Programs, Financial Counseling, Health and Wellness Facilities, Casual Dress Code, Flexible Spending Accounts (FSAs)'}","Social media platforms (e.g., Facebook, Twitter, Instagram) Content creation and scheduling Social media analytics and insights Community engagement Paid social advertising","Manage and grow social media accounts, create engaging content, and interact with the online community. Develop social media content calendars and strategies. Monitor social media trends and engagement metrics.",Builders FirstSource,"{""Sector"":""Construction"",""Industry"":""Building Materials, Glass"",""City"":""Dallas"",""State"":""Texas"",""Zip"":""75201"",""Website"":""www.bldr.com"",""Ticker"":""BLDR"",""CEO"":""Dave Rush""}"
320894,1197039066699115,3 to 15 Years,B.Tech,$63K-$130K,Ljubljana,Slovenia,46.1512,14.9955,Full-Time,96958,2023-07-28,Male,Amanda Campbell,001-298-715-7103,Data Scientist,Data Engineer,CareerBuilder,"Data Engineers design and maintain data pipelines, ensuring data availability and quality for analysis and reporting purposes.","{'Employee Referral Programs, Financial Counseling, Health and Wellness Facilities, Casual Dress Code, Flexible Spending Accounts (FSAs)'}","Data integration ETL (Extract, Transform, Load) Big data technologies (e.g., Hadoop, Spark) Database management Data warehousing","Design, build, and maintain data pipelines and ETL (Extract, Transform, Load) processes. Ensure data accessibility and availability for analytics and reporting. Collaborate with data scientists and analysts.",St. James's Place plc,"{""Sector"":""Financial Services"",""Industry"":""Financial Services - Investment"",""City"":""Cirencester"",""State"":""N/A"",""Zip"":""N/A"",""Website"":""www.sjp.co.uk"",""Ticker"":""STJ.L"",""CEO"":""Andrew Croft""}"
351890,1696318610071647,3 to 8 Years,PhD,$57K-$100K,Warsaw,Poland,51.9194,19.1451,Full-Time,88257,2023-09-12,Male,Amy Hernandez,412-957-2013x26205,Dental Hygienist,Dental Public Health Hygienist,ZipRecruiter,A Dental Public Health Hygienist works to improve oral health at the community level. They develop and implement public health programs and educate individuals on oral hygiene.,"{'Employee Assistance Programs (EAP), Tuition Reimbursement, Profit-Sharing, Transportation Benefits, Parental Leave'}",Dental public health principles Community outreach and education Dental health program planning Epidemiology knowledge Public health regulations knowledge,"Focus on community oral health, conducting screenings and preventive dental programs. Promote oral health initiatives and awareness. Collaborate with public health agencies.",McDonald's,"{""Sector"":""Food and Beverage"",""Industry"":""Food Services"",""City"":""Chicago"",""State"":""Illinois"",""Zip"":""60607"",""Website"":""www.investor.mcdonalds.com"",""Ticker"":""MCD"",""CEO"":""Christopher J. Kempczinski""}"
364616,1317727928993561,2 to 12 Years,PhD,$55K-$119K,Monrovia,Liberia,6.4281,-9.4295,Full-Time,90954,2022-09-10,Male,Andre Anderson,+1-745-342-0454x2322,Digital Marketing Specialist,SEO Specialist,The Muse,"SEO Specialists optimize websites for search engines to improve online visibility. They conduct keyword research, optimize content, and implement SEO strategies to increase organic traffic and rankings.","{'Employee Assistance Programs (EAP), Tuition Reimbursement, Profit-Sharing, Transportation Benefits, Parental Leave'}","Search engine algorithms and ranking factors Keyword research and analysis On-page and off-page SEO optimization SEO tools (e.g., Google Analytics, SEMrush) SEO content strategy","Optimize websites for search engines (SEO), conduct keyword research, and improve online visibility and search rankings. Monitor and analyze SEO performance metrics. Implement SEO best practices and strategies.",Coupang,"{""Sector"":""E-commerce"",""Industry"":""Internet Services and Retailing"",""City"":""Seattle"",""State"":""Washington"",""Zip"":""98101"",""Website"":""www.aboutcoupang.com"",""Ticker"":""CPNG"",""CEO"":""Bom Kim""}"
373557,2661867654498211,0 to 9 Years,M.Tech,$59K-$114K,Helsinki,Finland,61.9241,25.7482,Full-Time,83447,2023-08-12,Male,Anthony Roberts,001-235-951-9782,Database Developer,NoSQL Database Engineer,Idealist,"NoSQL Database Engineers work with non-relational databases to store and manage large volumes of unstructured or semi-structured data. They design data models, optimize database performance, and ensure scalability and data consistency.","{'Legal Assistance, Bonuses and Incentive Programs, Wellness Programs, Employee Discounts, Retirement Plans'}","NoSQL databases (e.g., MongoDB, Cassandra) Data modeling Data migration Performance tuning Scalability Distributed systems",Work with NoSQL databases like MongoDB or Cassandra to store and retrieve data efficiently. Design data models for NoSQL databases. Ensure data availability and scalability.,Sinopec,"{""Sector"":""Oil and Gas"",""Industry"":""Energy - Oil & Gas Exploration & Production"",""City"":""Beijing"",""State"":""N/A"",""Zip"":""N/A"",""Website"":""https://www.sinopecgroup.com/"",""Ticker"":""0386.HK"",""CEO"":""Zhang Yuzhuo""}"
415986,2008702837462940,1 to 13 Years,PhD,$59K-$119K,Georgetown,Guyana,4.8604,-58.9302,Full-Time,122140,2022-11-02,Male,Angela Gomez,599-751-4719x8279,Database Administrator,Database Security Specialist,Internships.com,A Database Security Specialist focuses on protecting databases from unauthorized access and data breaches. They implement security measures and ensure compliance with regulations.,"{'Casual Dress Code, Social and Recreational Activities, Employee Referral Programs, Health and Wellness Facilities, Life and Disability Insurance'}",Database security measures Data encryption and access control Security compliance Vulnerability assessment Database auditing and monitoring,Implement and maintain security measures to protect databases from unauthorized access and cyber threats. Monitor and audit database activity. Ensure compliance with data protection regulations.,Workspace Group,"{""Sector"":""Real Estate"",""Industry"":""Real Estate/REIT"",""City"":""London"",""State"":""England"",""Zip"":""SE1 1GY"",""Website"":""https://www.workspace.co.uk/"",""Ticker"":""WKP"",""CEO"":""Graham Clemett""}"
416851,2756877694755116,2 to 11 Years,B.Tech,$58K-$130K,George Town,Cayman Islands,19.3133,-81.2546,Full-Time,100107,2022-03-19,Male,Angela Booker,2303373711,Digital Marketing Specialist,SEO Specialist,Stack Overflow Jobs,"SEO Specialists optimize websites for search engines to improve online visibility. They conduct keyword research, optimize content, and implement SEO strategies to increase organic traffic and rankings.","{'Casual Dress Code, Social and Recreational Activities, Employee Referral Programs, Health and Wellness Facilities, Life and Disability Insurance'}","Search engine algorithms and ranking factors Keyword research and analysis On-page and off-page SEO optimization SEO tools (e.g., Google Analytics, SEMrush) SEO content strategy","Optimize websites for search engines (SEO), conduct keyword research, and improve online visibility and search rankings. Monitor and analyze SEO performance metrics. Implement SEO best practices and strategies.",Ashtead Group,"{""Sector"":""Equipment Rental"",""Industry"":""Equipment Rental"",""City"":""London"",""State"":""N/A"",""Zip"":""N/A"",""Website"":""www.ashtead-group.com"",""Ticker"":""AHT.L"",""CEO"":""Brendan Horgan""}"
447323,278109149997774,0 to 13 Years,PhD,$56K-$125K,Castries,St. Lucia,13.9094,-60.9789,Full-Time,96781,2021-09-19,Male,Alexandra King,(548)281-8227,Dental Hygienist,Periodontal Therapist,The Muse,A Periodontal Therapist specializes in treating gum diseases and conditions. They perform procedures such as scaling and root planing to improve oral health and prevent tooth loss.,"{'Health Insurance, Retirement Plans, Paid Time Off (PTO), Flexible Work Arrangements, Employee Assistance Programs (EAP)'}",Periodontal therapy procedures Patient care and communication Dental instrumentation Periodontal disease management Oral health education,Specialize in the treatment of gum diseases and periodontal conditions. Perform deep cleanings and scaling procedures. Monitor and assess periodontal health.,Ryder System,"{""Sector"":""Transportation"",""Industry"":""Transportation and Logistics"",""City"":""Miami"",""State"":""Florida"",""Zip"":""33178"",""Website"":""www.ryder.com"",""Ticker"":""R"",""CEO"":""Robert E. Sanchez""}"
480369,1409664220544923,0 to 11 Years,PhD,$61K-$122K,Roseau,Dominica,15.4149,-61.3705,Full-Time,88515,2022-11-14,Male,Ashley Fletcher,(943)888-5169,Digital Marketing Specialist,Social Media Manager,The Muse,"Social Media Managers oversee an organizations social media presence. They create and schedule content, engage with followers, and analyze social media metrics to drive brand awareness and engagement.","{'Childcare Assistance, Paid Time Off (PTO), Relocation Assistance, Flexible Work Arrangements, Professional Development'}","Social media platforms (e.g., Facebook, Twitter, Instagram) Content creation and scheduling Social media analytics and insights Community engagement Paid social advertising","Manage and grow social media accounts, create engaging content, and interact with the online community. Develop social media content calendars and strategies. Monitor social media trends and engagement metrics.",PPL,"{""Sector"":""Energy"",""Industry"":""Utilities: Gas and Electric"",""City"":""Allentown"",""State"":""Pennsylvania"",""Zip"":""18101"",""Website"":""www.pplweb.com"",""Ticker"":""PPL"",""CEO"":""Vincent Sorgi""}"
505813,572949122907055,0 to 15 Years,M.Tech,$55K-$86K,Rabat,Morocco,31.7917,-7.0926,Full-Time,127854,2023-06-05,Male,Ashley Norton,+1-292-347-1651,Digital Marketing Specialist,Social Media Manager,CareerBuilder,"Social Media Managers oversee an organizations social media presence. They create and schedule content, engage with followers, and analyze social media metrics to drive brand awareness and engagement.","{'Employee Referral Programs, Financial Counseling, Health and Wellness Facilities, Casual Dress Code, Flexible Spending Accounts (FSAs)'}","Social media platforms (e.g., Facebook, Twitter, Instagram) Content creation and scheduling Social media analytics and insights Community engagement Paid social advertising","Manage and grow social media accounts, create engaging content, and interact with the online community. Develop social media content calendars and strategies. Monitor social media trends and engagement metrics.",EasyJet,"{""Sector"":""Travel and Leisure"",""Industry"":""Airlines"",""City"":""London"",""State"":""N/A"",""Zip"":""N/A"",""Website"":""www.easyjet.com"",""Ticker"":""EZJ"",""CEO"":""Johan Lundgren""}"
540913,271969474635989,5 to 9 Years,PhD,$64K-$102K,Cockburn Town,Turks and Caicos Islands,21.694,-71.7979,Full-Time,104023,2023-08-17,Male,Amanda Thompson,452-598-1862x10794,Digital Marketing Specialist,SEO Specialist,LinkedIn,"SEO Specialists optimize websites for search engines to improve online visibility. They conduct keyword research, optimize content, and implement SEO strategies to increase organic traffic and rankings.","{'Childcare Assistance, Paid Time Off (PTO), Relocation Assistance, Flexible Work Arrangements, Professional Development'}","Search engine algorithms and ranking factors Keyword research and analysis On-page and off-page SEO optimization SEO tools (e.g., Google Analytics, SEMrush) SEO content strategy","Optimize websites for search engines (SEO), conduct keyword research, and improve online visibility and search rankings. Monitor and analyze SEO performance metrics. Implement SEO best practices and strategies.",Humana,"{""Sector"":""Healthcare"",""Industry"":""Health Care: Insurance and Managed Care"",""City"":""Louisville"",""State"":""Kentucky"",""Zip"":""40202"",""Website"":""www.humana.com"",""Ticker"":""HUM"",""CEO"":""Bruce D. Broussard""}"
551793,1366667856293087,4 to 14 Years,M.Tech,$57K-$119K,Islamabad,Pakistan,30.3753,69.3451,Full-Time,83693,2022-04-18,Male,Ariel Campbell,(933)326-7251,Digital Marketing Specialist,Social Media Manager,The Muse,"Social Media Managers oversee an organizations social media presence. They create and schedule content, engage with followers, and analyze social media metrics to drive brand awareness and engagement.","{'Employee Assistance Programs (EAP), Tuition Reimbursement, Profit-Sharing, Transportation Benefits, Parental Leave'}","Social media platforms (e.g., Facebook, Twitter, Instagram) Content creation and scheduling Social media analytics and insights Community engagement Paid social advertising","Manage and grow social media accounts, create engaging content, and interact with the online community. Develop social media content calendars and strategies. Monitor social media trends and engagement metrics.",China Southern Airlines,"{""Sector"":""Aviation and Travel"",""Industry"":""Airlines & Aviation"",""City"":""Guangzhou"",""State"":""N/A"",""Zip"":""N/A"",""Website"":""http://www.csair.com/"",""Ticker"":""600029"",""CEO"":""Ma Xulun""}"
556962,2624626367615464,5 to 9 Years,M.Tech,$60K-$115K,Phnom Penh,Cambodia,12.5657,104.9909,Full-Time,120521,2023-03-07,Male,Amber Jones,(803)205-0654x9491,Digital Marketing Specialist,SEO Specialist,ZipRecruiter,"SEO Specialists optimize websites for search engines to improve online visibility. They conduct keyword research, optimize content, and implement SEO strategies to increase organic traffic and rankings.","{'Tuition Reimbursement, Stock Options or Equity Grants, Parental Leave, Wellness Programs, Childcare Assistance'}","Search engine algorithms and ranking factors Keyword research and analysis On-page and off-page SEO optimization SEO tools (e.g., Google Analytics, SEMrush) SEO content strategy","Optimize websites for search engines (SEO), conduct keyword research, and improve online visibility and search rankings. Monitor and analyze SEO performance metrics. Implement SEO best practices and strategies.",J.B. Hunt Transport Services,"{""Sector"":""Transportation"",""Industry"":""Trucking, Truck Leasing"",""City"":""Lowell"",""State"":""Arkansas"",""Zip"":""72745"",""Website"":""www.jbhunt.com"",""Ticker"":""JBHT"",""CEO"":""John N. Roberts Iii""}"
562974,2117212143882623,5 to 13 Years,M.Tech,$63K-$89K,Chisinau,Moldova,47.4116,28.3699,Full-Time,113542,2023-01-11,Male,Aaron Williams,(642)878-8278,Digital Marketing Specialist,SEO Specialist,Idealist,"SEO Specialists optimize websites for search engines to improve online visibility. They conduct keyword research, optimize content, and implement SEO strategies to increase organic traffic and rankings.","{'Employee Assistance Programs (EAP), Tuition Reimbursement, Profit-Sharing, Transportation Benefits, Parental Leave'}","Search engine algorithms and ranking factors Keyword research and analysis On-page and off-page SEO optimization SEO tools (e.g., Google Analytics, SEMrush) SEO content strategy","Optimize websites for search engines (SEO), conduct keyword research, and improve online visibility and search rankings. Monitor and analyze SEO performance metrics. Implement SEO best practices and strategies.",Carnival Corporation & plc,"{""Sector"":""Travel/Cruise Lines"",""Industry"":""Travel and Leisure - Cruises"",""City"":""Miami"",""State"":""FL"",""Zip"":""33178"",""Website"":""https://www.carnivalcorp.com/"",""Ticker"":""CCL"",""CEO"":""Arnold W. Donald""}"
576825,1977883993361148,5 to 8 Years,M.Tech,$64K-$101K,Chisinau,Moldova,47.4116,28.3699,Full-Time,88242,2023-05-21,Male,Angela Flores,5989954248,Digital Marketing Specialist,SEO Specialist,FlexJobs,"SEO Specialists optimize websites for search engines to improve online visibility. They conduct keyword research, optimize content, and implement SEO strategies to increase organic traffic and rankings.","{'Life and Disability Insurance, Stock Options or Equity Grants, Employee Recognition Programs, Health Insurance, Social and Recreational Activities'}","Search engine algorithms and ranking factors Keyword research and analysis On-page and off-page SEO optimization SEO tools (e.g., Google Analytics, SEMrush) SEO content strategy","Optimize websites for search engines (SEO), conduct keyword research, and improve online visibility and search rankings. Monitor and analyze SEO performance metrics. Implement SEO best practices and strategies.",Arrow Electronics,"{""Sector"":""Technology"",""Industry"":""Wholesalers: Electronics and Office Equipment"",""City"":""Centennial"",""State"":""Colorado"",""Zip"":""80112"",""Website"":""www.arrow.com"",""Ticker"":""ARW"",""CEO"":""Sean J. Kerins""}"
578670,641880106583729,1 to 15 Years,B.Tech,$58K-$116K,Caracas,"Venezuela, RB",6.4238,-66.5897,Full-Time,90905,2023-05-13,Male,Amanda Reed,001-752-831-4315x45944,Data Engineer,Big Data Engineer,Monster,"A Big Data Engineer develops and manages big data solutions, including data storage, processing, and analysis platforms, to extract valuable insights and support data-driven decisions.","{'Transportation Benefits, Professional Development, Bonuses and Incentive Programs, Profit-Sharing, Employee Discounts'}","Big data technologies (Hadoop, Spark, etc.) Data processing and analysis Distributed computing","Work with large and complex datasets, using technologies like Hadoop and Spark. Develop and maintain big data solutions. Optimize data processing and storage for performance.",Abbott Laboratories,"{""Sector"":""Healthcare"",""Industry"":""Medical Products and Equipment"",""City"":""Abbott Park"",""State"":""Illinois"",""Zip"":""60064"",""Website"":""www.abbott.com"",""Ticker"":""ABT"",""CEO"":""Robert B. Ford""}"
605302,1296833823623652,0 to 11 Years,B.Tech,$56K-$80K,Tallinn,Estonia,58.5953,25.0136,Full-Time,130773,2021-12-23,Male,Andrew Giles,(891)289-0340,Dental Hygienist,Dental Hygiene Educator,Internships.com,A Dental Hygiene Educator teaches dental hygiene practices and oral health to students or the community. They promote preventive care and raise awareness about dental health.,"{'Flexible Spending Accounts (FSAs), Relocation Assistance, Legal Assistance, Employee Recognition Programs, Financial Counseling'}",Dental hygiene knowledge Teaching and instructional skills Curriculum development Student assessment Clinical practice experience,Educate patients on oral hygiene practices and preventive care. Provide oral health instruction and advice. Develop and deliver educational programs.,Mindtree Limited,"{""Sector"":""Information Technology"",""Industry"":""Information Technology Services"",""City"":""Bengaluru"",""State"":""Karnataka"",""Zip"":""560029"",""Website"":""https://www.mindtree.com/"",""Ticker"":""MINDTREE"",""CEO"":""Debashis Chatterjee""}"
607010,98091759190703,1 to 15 Years,PhD,$57K-$110K,Apia,American Samoa,-14.271,-170.1322,Full-Time,117713,2022-10-26,Male,Amanda Gonzalez,001-843-347-9527,Database Developer,SQL Database Developer,Jobs2Careers,"SQL Database Developers design, implement, and maintain relational databases using SQL (Structured Query Language). They write queries, optimize database performance, and ensure data integrity and security.","{'Employee Referral Programs, Financial Counseling, Health and Wellness Facilities, Casual Dress Code, Flexible Spending Accounts (FSAs)'}",SQL (Structured Query Language) Database design Query optimization Data modeling Database maintenance Problem-solving skills,"Design, develop, and maintain SQL databases, ensuring data integrity and performance. Write complex SQL queries and stored procedures. Troubleshoot database issues and optimize queries.",Deutsche Telekom AG,"{""Sector"":""Telecommunications"",""Industry"":""Telecommunications"",""City"":""Bonn"",""State"":""N/A"",""Zip"":""N/A"",""Website"":""www.telekom.com"",""Ticker"":""DTE"",""CEO"":""Timotheus H ttges""}"
674291,2397681432642512,1 to 15 Years,B.Tech,$55K-$82K,Pristina,Kosovo,42.6026,20.903,Full-Time,111162,2022-11-20,Male,Anna Ferguson,(916)767-7014,Digital Marketing Specialist,SEO Specialist,SimplyHired,"SEO Specialists optimize websites for search engines to improve online visibility. They conduct keyword research, optimize content, and implement SEO strategies to increase organic traffic and rankings.","{'Tuition Reimbursement, Stock Options or Equity Grants, Parental Leave, Wellness Programs, Childcare Assistance'}","Search engine algorithms and ranking factors Keyword research and analysis On-page and off-page SEO optimization SEO tools (e.g., Google Analytics, SEMrush) SEO content strategy","Optimize websites for search engines (SEO), conduct keyword research, and improve online visibility and search rankings. Monitor and analyze SEO performance metrics. Implement SEO best practices and strategies.",Unilever,"{""Sector"":""Consumer Goods"",""Industry"":""Consumer Goods"",""City"":""London/Rotterdam"",""State"":""N/A"",""Zip"":""N/A"",""Website"":""www.unilever.com"",""Ticker"":""UL"",""CEO"":""Alan Jope""}"
